ID	SEX	AGE	EDUC	ETHNIC	EMPLOY	MARITAL	SEXN
1487	"M"	47					1
1488	"M"	38	8	5	1	2	1
1489	"F"	50	6	5	1	4	2
1490	"M"	43	6	5	1	2	1
1491	"M"	48	8	5	1	2	1
1492	"M"	41	3	5	1	2	1
1493	"F"	47	5	5	6	4	2
1494	"M"	53	7	5	1	2	1
1495	"M"	55	8	5	2	2	1
1496	"M"	64	6	5	3	2	1
1497	"M"	62	8	5	3	2	1
1498	"M"	35	5	5	1	2	1
1499	"F"	52	8	5	2	3	2
1500	"M"	50	8	5	6	2	1
1501	"M"	60					1
1502	"F"	39	6	5	1	2	2
1503	"F"	50	8	5	1	2	2
1504	"M"	41	5	5	1	2	1
1505	"M"	59	8	5	1	2	1
1506	"M"	48	5	5	1	2	1
1507	"F"	60	8	5	3	2	2
1508	"M"	37	3	5	1	2	1
1509	"M"	43	8	5	6	2	1
1510	"M"	45	5	5	1	2	1
1511	"F"	45	7	5	1	2	2
1512	"F"	36	5	5	2	2	2
1513	"M"	42	5	5	1	2	1
1514	"M"	49	8	6	6	2	1
1518	"M"	36					1
1519	"F"	76	4	5	3	4	2
1520	"M"	40	5	5	6	2	1
1521	"M"	50	8	5	1	2	1
1522	"M"	54	6	5	1	3	1
1523	"F"	50	3	5	1	5	2
1524	"F"	39	6	5	2	2	2
1525	"M"	38	5	1	1	2	1
1526	"M"	45	4	5	1	2	1
1527	"M"	42	8	5	1	2	1
1528	"M"	64	8	5	3	2	1
1529	"M"	48	5	5	1	2	1
1530	"F"	44	5	5	4	2	2
1531	"M"	55	6	5	1	2	1
1532	"M"	44	6	3	1	2	1
1533	"F"	50	5	5	1	2	2
1534	"M"	44	7	5	1	2	1
1535	"M"	56	4	5	1	2	1
1536	"M"	45	8	5	1	2	1
1537	"M"	54	6	5	2	2	1
1538	"M"	56	5	5	1	2	1
1539	"M"	46	8	5	1	2	1
1540	"M"	40	5	1	1	2	1
1541	"M"	56	6	5	1	2	1
1542	"M"	52	6	5	1	2	1
1543	"M"	34	5	5	1	2	1
1544	"F"	24	5	5	2	3	2
1545	"M"	42	8	5	1	2	1
1546	"M"	70	3	5	3	2	1
1547	"F"	38	6	5	4	2	2
1548	"M"	44	6	5	1	2	1
1549	"M"	47	5	1	3	2	1
1550	"M"	66	7	5	6	2	1
1551	"M"	43	6	5	1	2	1
1552	"F"	22					2
1553	"M"	41	7	5	2	2	1
1554	"F"	45	5	5	1	2	2
1555	"M"	55	8	5	2	3	1
1556	"M"	46	8	5	1	2	1
1563	"F"	22	5	5	2	1	2
1564	"M"	52	6	5	1	2	1
1565	"M"	37	5	5	1	2	1
1566	"M"	63	8	5	3	2	1
1567	"F"	55	8	5	6	1	2
1568	"F"	39	5	5	4	2	2
1569	"M"	50	8	5	2	2	1
1570	"F"	46	5	5	4	2	2
1571	"M"	50	5	5	1	2	1
1572	"M"	46	7	5	1	2	1
1573	"M"	41	8	5	1	2	1
1574	"M"	20	5	5	2	1	1
1575	"M"	39	7	5	1	2	1
